t,lat,lon,alt,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
10.0,35.72448578858212,51.27554136736892,1370.0000310633332,-5.759363631341248e-05,-3.9050909066417616e-05,0.0,-2.273753152990147e-12,-5.6844530168034e-13,0.0,208.8,70.0,0.0,255.0,0.0
10.05,35.72448281875767,51.275538515894134,1370.0000308016315,-5.759363642710014e-05,-3.905090909483988e-05,0.0,-5.68442428544591e-13,-1.4210910551613887e-12,0.0,208.2540909090909,70.0,0.0,255.0,0.0
10.100000000000001,35.72447984195322,51.27553566551348,1370.000030552037,-5.759363637025672e-05,-3.905090920852672e-05,0.0,1.1368683772161603e-12,0.0,0.0,207.70818181818183,70.0,0.0,255.0,0.0
10.150000000000002,35.72447685817758,51.27553281630842,1370.0000303098932,-5.75936363134133e-05,-3.905090909483988e-05,0.0,0.0,2.2737367544323206e-12,0.0,207.16227272727272,70.0,0.0,255.0,0.0
10.200000000000003,35.72447386744022,51.2755299683604,1370.0000300752,-5.759363637025672e-05,-3.905090898115304e-05,0.0,-5.684341886080801e-13,0.0,0.0,206.61636363636362,70.0,0.0,255.0,0.0
10.250000000000004,35.7244708697512,51.27552712175069,1370.0000298516825,-5.759363637025672e-05,-3.905090909483988e-05,0.0,5.684341886080801e-13,-1.1368683772161603e-12,0.0,206.0704545454545,70.0,0.0,255.0,0.0
10.300000000000004,35.724467865121255,51.27552427656046,1370.0000296346843,-5.75936363134133e-05,-3.905090909483988e-05,0.0,0.0,0.0,0.0,205.52454545454543,70.0,0.0,255.0,0.0
10.350000000000005,35.72446485356172,51.275521432870725,1370.0000294307247,-5.759363637025672e-05,-3.905090909483988e-05,0.0,-1.1368683772161603e-12,-1.1368683772161603e-12,0.0,204.97863636363633,70.0,0.0,255.0,0.0
10.400000000000006,35.724461835084554,51.27551859076241,1370.0000292342156,-5.759363642710014e-05,-3.905090920852672e-05,0.0,0.0,0.0,0.0,204.43272727272722,70.0,0.0,255.0,0.0
10.450000000000006,35.724458809702355,51.275515750316245,1370.0000290470198,-5.759363637025672e-05,-3.905090909483988e-05,0.0,5.684341886080801e-13,2.2737367544323206e-12,0.0,203.88681818181811,70.0,0.0,255.0,0.0
10.500000000000007,35.72445577742836,51.27551291161284,1370.0000288700685,-5.759363637025672e-05,-3.905090898115304e-05,0.0,5.684341886080801e-13,0.0,0.0,203.34090909090904,70.0,0.0,255.0,0.0
10.550000000000008,35.72445273827643,51.275510074732665,1370.0000287005678,-5.75936363134133e-05,-3.905090909483988e-05,0.0,0.0,-1.1368683772161603e-12,0.0,202.79499999999993,70.0,0.0,255.0,0.0
10.600000000000009,35.72444969226103,51.27550723975599,1370.0000285441056,-5.759363637025672e-05,-3.905090909483988e-05,0.0,-1.1368683772161603e-12,1.1368683772161603e-12,0.0,202.24909090909082,70.0,0.0,255.0,0.0
10.65000000000001,35.72444663939725,51.27550440676289,1370.000028395094,-5.759363642710014e-05,-3.905090898115304e-05,0.0,5.684341886080801e-13,0.0,0.0,201.70318181818172,70.0,0.0,255.0,0.0
10.70000000000001,35.72444357970085,51.27550157583336,1370.0000282553956,-5.75936363134133e-05,-3.905090909483988e-05,0.0,5.684341886080801e-13,-2.2737367544323206e-12,0.0,201.15727272727264,70.0,0.0,255.0,0.0
10.75000000000001,35.724440513188135,51.27549874704706,1370.0000281278044,-5.759363637025672e-05,-3.905090920852672e-05,0.0,-5.684341886080801e-13,0.0,0.0,200.61136363636354,70.0,0.0,255.0,0.0
10.800000000000011,35.72443743987608,51.275495920483586,1370.0000280095264,-5.759363637025672e-05,-3.905090909483988e-05,0.0,5.684341886080801e-13,1.1368683772161603e-12,0.0,200.06545454545443,70.0,0.0,255.0,0.0
10.850000000000012,35.72443435978226,51.275493096222284,1370.0000279005617,-5.75936363134133e-05,-3.905090909483988e-05,0.0,-5.684341886080801e-13,0.0,0.0,199.51954545454532,70.0,0.0,255.0,0.0
10.900000000000013,35.72443127292488,51.27549027434227,1370.0000278018415,-5.759363642710014e-05,-3.905090909483988e-05,0.0,-5.684341886080801e-13,1.1368683772161603e-12,0.0,198.97363636363625,70.0,0.0,255.0,0.0
10.950000000000014,35.7244281793227,51.27548745492247,1370.0000277152285,-5.759363637025672e-05,-3.905090898115304e-05,0.0,1.1368683772161603e-12,0.0,0.0,198.42772727272714,70.0,0.0,255.0,0.0
11.000000000000014,35.72442507899522,51.27548463804159,1370.0000276369974,-5.75936363134133e-05,-3.905090909483988e-05,0.0,0.0,-2.2737367544323206e-12,0.0,197.88181818181803,70.0,0.0,255.0,0.0
11.050000000000015,35.72442197196239,51.27548182377806,1370.0000275699422,-5.759363637025672e-05,-3.905090920852672e-05,0.0,-5.684341886080801e-13,0.0,0.0,197.33590909090893,70.0,0.0,255.0,0.0
11.100000000000016,35.72441885824492,51.27547901221015,1370.0000275122002,-5.759363637025672e-05,-3.905090909483988e-05,0.0,-5.684341886080801e-13,2.2737367544323206e-12,0.0,196.78999999999985,70.0,0.0,255.0,0.0
11.150000000000016,35.724415737864,51.27547620341581,1370.0000274674967,-5.759363642710014e-05,-3.905090898115304e-05,0.0,0.0,0.0,0.0,196.24409090909074,70.0,0.0,255.0,0.0
11.200000000000017,35.7244126108415,51.27547339747281,1370.0000274321064,-5.759363637025672e-05,-3.905090909483988e-05,0.0,1.1368683772161603e-12,-1.1368683772161603e-12,0.0,195.69818181818164,70.0,0.0,255.0,0.0
